column,role,dtype,non_null,missing_count,missing_fraction,unique_count,dominant_fraction,near_zero_variance,dominant_category,attention
date,datetime,datetime64[us],2512,0,0.0,2512,0.0003980891719745223,False,False,none
open,numeric,float64,2512,0,0.0,2432,0.0011942675159235668,False,False,none
high,numeric,float64,2512,0,0.0,2431,0.0011942675159235668,False,False,none
low,numeric,float64,2512,0,0.0,2438,0.0007961783439490446,False,False,none
close,numeric,float64,2512,0,0.0,2436,0.0007961783439490446,False,False,none
volume,numeric,int64,2512,0,0.0,2511,0.0007961783439490446,False,False,none
daily_return,numeric,float64,2511,1,0.0003980891719745223,2507,0.0019904458598726115,False,False,has_missing
abs_return,numeric,float64,2511,1,0.0003980891719745223,2507,0.0019904458598726115,False,False,has_missing
intraday_range,numeric,float64,2512,0,0.0,2512,0.0003980891719745223,False,False,none
close_to_open_return,numeric,float64,2512,0,0.0,2505,0.0031847133757961785,False,False,none
log_volume,numeric,float64,2512,0,0.0,2511,0.0007961783439490446,False,False,none
rolling_vol_21,numeric,float64,2491,21,0.008359872611464968,2491,0.008359872611464968,False,False,has_missing
return_direction,categorical,category,2512,0,0.0,4,0.5509554140127388,False,False,none
weekday_name,categorical,category,2512,0,0.0,5,0.20621019108280256,False,False,none
