feature,observations,pearson_correlation
intraday_range_t,2511,0.5063819184489202
rolling_volatility_5_t,2506,0.4977593865300059
stress_interaction_t,2510,0.403518421783086
abs_return_t,2510,0.35859751069979934
return_t,2510,-0.10968195088374211
weekday_Thursday,2511,0.029408506557142212
weekday_Monday,2511,-0.021626234179482076
log_volume_change_t,2510,0.011773747306046696
weekday_Tuesday,2511,-0.010845424665770181
weekday_Wednesday,2511,0.009131714915109838
weekday_Friday,2511,-0.006675370790207208
