feature,observations,pearson_correlation
intraday_range_t,2511,0.5060056536128261
rolling_volatility_5_t,2506,0.4987491268144638
stress_interaction_t,2510,0.4033595510134262
abs_return_t,2510,0.3579649038315529
return_t,2510,-0.10996713411313236
weekday_Thursday,2511,0.02894662268622227
weekday_Monday,2511,-0.02191158942237452
log_volume_change_t,2510,0.011700321443413314
weekday_Tuesday,2511,-0.01084861422595461
weekday_Wednesday,2511,0.010546505019420411
weekday_Friday,2511,-0.007348680640597622
